00:00:06.160 -> 00:00:07.040 | 大家好
00:00:07.040 -> 00:00:07.839 | 我叫狼
00:00:07.839 -> 00:00:12.419 | 后期对面坐着的是我今天的相亲对象
00:00:12.419 -> 00:00:13.999 | 满脸不屑
00:00:13.999 -> 00:00:15.599 | 眼神飘忽
00:00:15.599 -> 00:00:17.259 | 心不在焉
00:00:17.259 -> 00:00:21.000 | 遇到这女孩明显就是没戏了
00:00:21.320 -> 00:00:24.399 | 不过怪就怪你遇到了我
00:00:25.399 -> 00:00:27.868 | 而我有一个朋友
00:00:27.868 -> 00:00:29.849 | 他是位经验丰富
00:00:29.849 -> 00:00:32.210 | 百战不殆的相亲高手
00:00:32.210 -> 00:00:34.570 | 遇到对你毫无兴趣的女孩
00:00:34.570 -> 00:00:36.789 | 你就要拿出让她感兴趣的东西
00:00:36.789 -> 00:00:38.369 | 你的法拉利钥匙
00:00:38.369 -> 00:00:40.950 | 你的四层独栋别墅房产证
00:00:40.950 -> 00:00:45.070 | 总之道具赛永远是必杀技
00:00:49.479 -> 00:00:52.000 | 这玩意儿是我家的电视遥控器
00:00:53.119 -> 00:00:54.869 | 这电视价值1万5
00:00:54.869 -> 00:00:58.189 | 电视电视买这么贵有什么用
00:00:58.189 -> 00:00:59.850 | 还不是得打开爱奇艺
00:00:59.850 -> 00:01:01.750 | 有的才开始相亲的小伙伴
00:01:01.750 -> 00:01:03.549 | 可能这时就慌了
00:01:03.549 -> 00:01:05.010 | 但是你先不用慌
00:01:05.010 -> 00:01:08.299 | 因为我的朋友完全料到了这样的情况
00:01:08.299 -> 00:01:10.780 | 如果道具没有引起对方的注意
00:01:10.780 -> 00:01:12.659 | 那我们就要从他的兴趣下手
00:01:12.659 -> 00:01:15.909 | 毕竟兴趣是拉近距离的最佳桥梁
00:01:15.909 -> 00:01:19.170 | 比如说你喜欢用92℃的软水
00:01:19.170 -> 00:01:20.670 | 萃取巴拿马瑰夏
00:01:20.670 -> 00:01:23.780 | 又比如说你说你能够品出勃艮第
00:01:23.780 -> 00:01:26.099 | 黑皮诺的樱桃梗青味
00:01:27.790 -> 00:01:31.549 | 我家的电视可以玩王者荣耀
00:01:38.640 -> 00:01:40.239 | 拿下
00:01:46.299 -> 00:01:47.319 | Mate tv pro
00:01:47.319 -> 00:01:50.959 | 华为最新的电视系统据说是搭载了满血的鸿蒙
00:01:50.959 -> 00:01:54.400 | 以及一些电视行业遥遥领先的使用方式
00:01:54.400 -> 00:01:54.980 | 正好啊
00:01:54.980 -> 00:01:56.280 | 家里也缺个电视
00:01:56.280 -> 00:01:58.180 | 索性就买回来试试呗
00:01:58.180 -> 00:02:02.400 | 毕竟一个75寸的电视能要多少钱呢
00:02:03.159 -> 00:02:04.299 | 唉不是哥们儿
00:02:04.299 -> 00:02:06.340 | 索尼都没卖到你这么贵的啊
00:02:06.340 -> 00:02:09.979 | 这到底是什么技术能让华为如此的遥遥领先
00:02:09.979 -> 00:02:12.419 | 这下那更要尝尝咸淡了
00:02:12.419 -> 00:02:14.819 | 当拿到mate TV pro的大箱子时
00:02:14.819 -> 00:02:16.490 | 安装是要收费的啊
00:02:16.490 -> 00:02:19.349 | 我这购买记本上明明写着是免费安装啊
00:02:19.349 -> 00:02:21.500 | 还好我不是个较真儿的人
00:02:21.500 -> 00:02:23.000 | 所以我自己装
00:02:23.000 -> 00:02:24.719 | 临走前我还问了小哥一句
00:02:24.719 -> 00:02:26.879 | 底座支架是不是在包装里
00:02:26.879 -> 00:02:28.159 | 他说是的
00:02:28.159 -> 00:02:30.479 | 就从这次愉快的收获经历开始
00:02:30.479 -> 00:02:34.939 | 这台mate TV pro就一直在给我创造与众不同的体验
00:02:34.939 -> 00:02:37.099 | 首先我把包装全部拆完了
00:02:37.099 -> 00:02:39.530 | 也没见着底座啊
00:02:39.530 -> 00:02:42.069 | 反正我家里另一个电视的底座没用
00:02:42.069 -> 00:02:43.650 | 就拿出来给他呗
00:02:43.650 -> 00:02:44.250 | 呃什么
00:02:44.250 -> 00:02:46.449 | 当我查看电视底边的时候
00:02:46.449 -> 00:02:49.759 | 我发现它并没有采用底边上螺方案
00:02:49.759 -> 00:02:51.719 | 而是从后面这个位置上
00:02:51.719 -> 00:02:53.939 | 于是我去京东淘宝搜了一大圈
00:02:53.939 -> 00:02:55.800 | 也没找到官方适配的底座
00:02:55.800 -> 00:02:58.009 | 只怪我当时脑子糊涂了
00:02:58.009 -> 00:03:00.930 | 随便买了一个看起来应该能用的第三方
00:03:00.930 -> 00:03:03.310 | 结果这个第三方还是不匹配
00:03:03.310 -> 00:03:05.169 | 只能上在中间这里
00:03:05.169 -> 00:03:06.330 | 可是我都装好了
00:03:06.330 -> 00:03:10.400 | 才发现华为的官方商城里面居然有两款底座
00:03:10.400 -> 00:03:11.360 | 你说这扯不扯
00:03:11.360 -> 00:03:13.699 | 这么多年数码博主白当了行吧
00:03:13.699 -> 00:03:14.580 | 买都买了
00:03:14.580 -> 00:03:15.699 | 也不是不能用
00:03:15.699 -> 00:03:17.340 | 纵观整个电视的外形
00:03:17.340 -> 00:03:18.680 | 让我眼前一亮
00:03:18.680 -> 00:03:21.019 | 首先就是它真的很薄
00:03:21.019 -> 00:03:24.118 | 大部分电视在屏幕上都能做得比较薄
00:03:24.118 -> 00:03:27.090 | 但背后总有一片很大的凸起
00:03:27.090 -> 00:03:30.229 | 可华为这台做到了整体厚度是一致的
00:03:30.229 -> 00:03:32.310 | 背面机械感风味十足
